MiniDOT Logger Concatenated Data File
Sensor:             7450-565098
Concatenation Date: 2023May23 22:43:39 PDT

DO concentration compensated for salinity: 35.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1656427080,           2022-06-28 14:38:00,           2022-06-28 07:38:00,      3.520000,     14.521000,          4.398656,                    53.557522,      0.967000
                1656427680,           2022-06-28 14:48:00,           2022-06-28 07:48:00,      3.530000,     14.582000,          4.528911,                    55.210866,      0.967000
                1656428280,           2022-06-28 14:58:00,           2022-06-28 07:58:00,      3.530000,     14.685000,          4.716778,                    57.619624,      0.967000
                1656428880,           2022-06-28 15:08:00,           2022-06-28 08:08:00,      3.530000,     14.746000,          4.914837,                    60.112245,      0.967000
                1656429480,           2022-06-28 15:18:00,           2022-06-28 08:18:00,      3.530000,     14.823000,          4.886458,                    59.856972,      0.966000
                1656430080,           2022-06-28 15:28:00,           2022-06-28 08:28:00,      3.530000,     14.918000,          5.197804,                    63.791371,      0.966000
                1656430680,           2022-06-28 15:38:00,           2022-06-28 08:38:00,      3.530000,     15.082000,          5.269466,                    64.881905,      0.966000
                1656431280,           2022-06-28 15:48:00,           2022-06-28 08:48:00,      3.520000,     15.210000,          5.390869,                    66.545299,      0.966000
                1656431880,           2022-06-28 15:58:00,           2022-06-28 08:58:00,      3.520000,     15.399000,          5.664664,                    70.186739,      0.965000
                1656432480,           2022-06-28 16:08:00,           2022-06-28 09:08:00,      3.520000,     15.630000,          5.925324,                    73.751146,      0.965000
                1656433080,           2022-06-28 16:18:00,           2022-06-28 09:18:00,      3.530000,     15.853000,          6.208715,                    77.617287,      0.965000
                1656433680,           2022-06-28 16:28:00,           2022-06-28 09:28:00,      3.530000,     15.964000,          6.574311,                    82.366412,      0.965000
                1656434280,           2022-06-28 16:38:00,           2022-06-28 09:38:00,      3.520000,     16.023000,          6.766493,                    84.871942,      0.965000
                1656434880,           2022-06-28 16:48:00,           2022-06-28 09:48:00,      3.520000,     16.040000,          6.982465,                    87.609941,      0.965000
                1656435480,           2022-06-28 16:58:00,           2022-06-28 09:58:00,      3.520000,     16.066000,          7.001359,                    87.891601,      0.964000
                1656436080,           2022-06-28 17:08:00,           2022-06-28 10:08:00,      3.520000,     16.109000,          7.225751,                    90.784625,      0.965000
                1656436680,           2022-06-28 17:18:00,           2022-06-28 10:18:00,      3.520000,     16.083000,          7.466283,                    93.759115,      0.965000
                1656437280,           2022-06-28 17:28:00,           2022-06-28 10:28:00,      3.520000,     16.109000,          7.707468,                    96.836933,      0.965000
                1656437880,           2022-06-28 17:38:00,           2022-06-28 10:38:00,      3.520000,     16.168000,          7.894149,                    99.296515,      0.965000
                1656438480,           2022-06-28 17:48:00,           2022-06-28 10:48:00,      3.520000,     16.424000,          8.335034,                   105.365206,      0.965000
                1656439080,           2022-06-28 17:58:00,           2022-06-28 10:58:00,      3.520000,     16.645000,          8.537927,                   108.392840,      0.965000
                1656439680,           2022-06-28 18:08:00,           2022-06-28 11:08:00,      3.520000,     16.789000,          8.920282,                   113.562238,      0.965000
                1656440280,           2022-06-28 18:18:00,           2022-06-28 11:18:00,      3.520000,     16.899000,          9.104007,                   116.147043,      0.965000
                1656440880,           2022-06-28 18:28:00,           2022-06-28 11:28:00,      3.520000,     17.077000,          9.156071,                   117.211530,      0.965000
                1656441480,           2022-06-28 18:38:00,           2022-06-28 11:38:00,      3.520000,     17.154000,          9.643030,                   123.627753,      0.965000
                1656442080,           2022-06-28 18:48:00,           2022-06-28 11:48:00,      3.520000,     17.314000,          9.724938,                   125.060245,      0.966000
                1656442680,           2022-06-28 18:58:00,           2022-06-28 11:58:00,      3.520000,     17.526000,          9.486085,                   122.483135,      0.965000
                1656443280,           2022-06-28 19:08:00,           2022-06-28 12:08:00,      3.520000,     17.864000,          9.599128,                   124.741091,      0.966000
                1656443880,           2022-06-28 19:18:00,           2022-06-28 12:18:00,      3.520000,     18.142000,         11.039677,                   144.216905,      0.966000
                1656444480,           2022-06-28 19:28:00,           2022-06-28 12:28:00,      3.520000,     18.470000,         10.396401,                   136.653932,      0.966000
                1656445080,           2022-06-28 19:38:00,           2022-06-28 12:38:00,      3.510000,     18.664000,         11.353321,                   149.775283,      0.966000
                1656445680,           2022-06-28 19:48:00,           2022-06-28 12:48:00,      3.520000,     18.941000,         11.629553,                   154.214433,      0.966000
                1656446280,           2022-06-28 19:58:00,           2022-06-28 12:58:00,      3.520000,     19.503000,         11.006789,                   147.484639,      0.965000
                1656446880,           2022-06-28 20:08:00,           2022-06-28 13:08:00,      3.510000,     19.948000,         11.852164,                   160.117118,      0.966000
                1656447480,           2022-06-28 20:18:00,           2022-06-28 13:18:00,      3.510000,     20.852000,         11.586139,                   159.119423,      0.967000
                1656448080,           2022-06-28 20:28:00,           2022-06-28 13:28:00,      3.510000,     21.496000,         11.787460,                   163.769899,      0.968000
                1656448680,           2022-06-28 20:38:00,           2022-06-28 13:38:00,      3.510000,     22.107000,         11.849707,                   166.436331,      0.968000
                1656449280,           2022-06-28 20:48:00,           2022-06-28 13:48:00,      3.510000,     22.810000,         11.966640,                   170.175961,      0.968000
                1656449880,           2022-06-28 20:58:00,           2022-06-28 13:58:00,      3.510000,     23.740000,         12.968540,                   187.437783,      0.969000
                1656450480,           2022-06-28 21:08:00,           2022-06-28 14:08:00,      3.510000,     24.773000,         12.662550,                   186.293822,      0.970000
