Pop,Sex,Replicate.ID,Well,Load.time,Plat.time,Time.to.0.1,Time.minutes,0hr,1hr,2hr,3hr,4hr,5hr,6hr,KOcheck,24hr.Survival,Three.day.survival,Total copepods,Hour0.prop,Hour1.prop,Hour2.prop,Hour3.prop,Hour4.prop,Hour5.prop,Hour6.prop,KO.prop,Group
SD,M,MSD.1,A1,8:05:00 AM,10:00:00 AM,1:55:00 AM,115,0,0,0,1,3,8,8,5,10,10,10,0,0,0,0.1,0.3,0.8,0.8,0.5,Experimental
SD,M,MSD.2,A2,8:11:00 AM,9:47:00 AM,1:36:00 AM,96,0,2,2,2,2,9,9,9,10,10,10,0,0.2,0.2,0.2,0.2,0.9,0.9,0.9,Experimental
SD,F,FSD.1,A3,8:17:00 AM,10:28:00 AM,2:11:00 AM,131,0,0,1,1,1,1,1,1,10,10,10,0,0,0.1,0.1,0.1,0.1,0.1,0.1,Experimental
SH,M,MSH.1,A4,8:22:00 AM,9:46:00 AM,1:24:00 AM,84,0,4,8,8,8,8,10,10,10,10,10,0,0.4,0.8,0.8,0.8,0.8,1,1,Experimental
SH,F,FSH.1,A5,8:27:00 AM,9:47:00 AM,1:20:00 AM,80,0,2,5,9,9,9,9,9,10,10,10,0,0.2,0.5,0.9,0.9,0.9,0.9,0.9,Experimental
SH,F,FSH.2,A6,8:32:00 AM,10:42:00 AM,2:10:00 AM,130,0,1,5,6,6,7,7,6,9,8,10,0,0.1,0.5,0.6,0.6,0.7,0.7,0.6,Experimental
BOB,F,FBOB.1,D1,8:38:00 AM,10:59:00 AM,2:21:00 AM,141,0,1,1,1,4,6,6,4,9,7,9,0,0.111111111,0.111111111,0.111111111,0.444444444,0.666666667,0.666666667,0.444444444,Experimental
BOB,M,MBOB.1,D2,8:42:00 AM,11:25:00 AM,2:43:00 AM,163,0,6,6,6,8,9,10,10,10,10,10,0,0.6,0.6,0.6,0.8,0.9,1,1,Experimental
BOB,F,FBOB.2,D3,8:47:00 AM,11:25:00 AM,2:38:00 AM,158,0,1,1,1,5,7,8,8,9,9,9,0,0.111111111,0.111111111,0.111111111,0.555555556,0.777777778,0.888888889,0.888888889,Experimental
BR,M,MBR.1,D4,8:52:00 AM,10:52:00 AM,2:00:00 AM,120,0,0,0,0,0,1,1,1,10,10,10,0,0,0,0,0,0.1,0.1,0.1,Experimental
BR,M,MBR.2,D5,8:58:00 AM,10:32:00 AM,1:34:00 AM,94,0,0,0,0,1,1,1,1,10,10,10,0,0,0,0,0.1,0.1,0.1,0.1,Experimental
BR,F,FBR.1,D6,9:02:00 AM,11:02:00 AM,2:00:00 AM,120,0,0,0,0,0,,,0,10,10,10,0,0,0,0,0,0,0,0,Experimental
BR,M,MBR.3,A1,8:08:00 AM,9:05:00 AM,12:57:00 AM,57,0,2,3,3,3,3,3,3,10,9,10,0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,Experimental
BR,F,FBR.2,A2,8:14:00 AM,10:06:00 AM,1:52:00 AM,112,0,0,1,1,0,1,2,4,10,10,10,0,0,0.1,0.1,0,0.1,0.2,0.4,Experimental
BR,F,FBR.3,A3,8:18:00 AM,10:31:00 AM,2:13:00 AM,133,0,0,1,0,0,0,1,0,10,10,10,0,0,0.1,0,0,0,0.1,0,Experimental
SH,M,MSH.2,A4,8:44:00 AM,10:39:00 AM,1:55:00 AM,115,0,4,4,7,7,9,9,9,10,7,10,0,0.4,0.4,0.7,0.7,0.9,0.9,0.9,Experimental
SH,M,MSH.3,A5,8:40:00 AM,11:15:00 AM,2:35:00 AM,155,0,5,5,9,9,9,10,9,10,9,10,0,0.5,0.5,0.9,0.9,0.9,1,0.9,Experimental
SH,F,FSH.3,A6,8:36:00 AM,10:07:00 AM,1:31:00 AM,91,0,0,0,0,3,4,4,4,10,9,10,0,0,0,0,0.3,0.4,0.4,0.4,Experimental
SD,F,FSD.2,D1,8:48:00 AM,10:24:00 AM,1:36:00 AM,96,0,1,1,1,1,1,2,1,9,9,10,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,Experimental
SD,F,FSD.3,D2,8:53:00 AM,10:31:00 AM,1:38:00 AM,98,0,1,1,1,0,1,1,1,10,10,10,0,0.1,0.1,0.1,0,0.1,0.1,0.1,Experimental
SD,M,MSD.3,D3,8:56:00 AM,11:36:00 AM,2:40:00 AM,160,0,2,2,2,4,4,7,7,10,10,10,0,0.2,0.2,0.2,0.4,0.4,0.7,0.7,Experimental
BOB,M,MBOB.2,D4,8:32:00 AM,10:25:00 AM,1:53:00 AM,113,0,5,6,10,10,10,10,10,9,9,10,0,0.5,0.6,1,1,1,1,1,Experimental
BOB,M,MBOB.3,D5,8:28:00 AM,11:27:00 AM,2:59:00 AM,179,0,6,8,9,10,10,10,10,10,10,10,0,0.6,0.8,0.9,1,1,1,1,Experimental
BOB,F,FBOB.3,D6,8:22:00 AM,10:33:00 AM,2:11:00 AM,131,0,0,2,3,4,7,9,9,10,10,10,0,0,0.2,0.3,0.4,0.7,0.9,0.9,Experimental
BOB,M,MBOB.4,A1,8:25:00 AM,10:37:00 AM,2:12:00 AM,132,0,6,7,9,10,10,10,10,4,4,10,0,0.6,0.7,0.9,1,1,1,1,Experimental
BOB,F,FBOB.4,A2,8:30:00 AM,10:53:00 AM,2:23:00 AM,143,0,1,3,6,6,9,9,9,9,8,10,0,0.1,0.3,0.6,0.6,0.9,0.9,0.9,Experimental
BOB,F,FBOB.5,A3,8:33:00 AM,10:49:00 AM,2:16:00 AM,136,0,2,7,7,7,9,9,9,9,8,10,0,0.2,0.7,0.7,0.7,0.9,0.9,0.9,Experimental
SD,F,FSD.4,A4,8:47:00 AM,10:53:00 AM,2:06:00 AM,126,0,0,0,0,2,2,3,4,10,10,10,0,0,0,0,0.2,0.2,0.3,0.4,Experimental
SD,M,MSD.4,A5,8:42:00 AM,10:52:00 AM,2:10:00 AM,130,0,1,4,6,6,7,10,9,10,9,10,0,0.1,0.4,0.6,0.6,0.7,1,0.9,Experimental
SD,M,MSD.5,A6,8:38:00 AM,11:06:00 AM,2:28:00 AM,148,0,1,3,6,9,9,9,10,10,9,10,0,0.1,0.3,0.6,0.9,0.9,0.9,1,Experimental
SH,M,MSH.4,D1,9:04:00 AM,10:59:00 AM,1:55:00 AM,115,0,6,10,10,10,10,10,10,10,9,10,0,0.6,1,1,1,1,1,1,Experimental
SH,M,MSH.5,D2,9:08:00 AM,10:44:00 AM,1:36:00 AM,96,0,6,9,9,9,10,10,10,10,10,10,0,0.6,0.9,0.9,0.9,1,1,1,Experimental
SH,F,FSH.4,D3,9:12:00 AM,11:11:00 AM,1:59:00 AM,119,0,0,0,4,4,4,7,7,10,9,10,0,0,0,0.4,0.4,0.4,0.7,0.7,Experimental
BR,F,FBR.4,D4,9:00:00 AM,10:30:00 AM,1:30:00 AM,90,0,1,1,3,4,4,5,5,10,10,10,0,0.1,0.1,0.3,0.4,0.4,0.5,0.5,Experimental
BR,M,MBR.4,D5,8:56:00 AM,11:03:00 AM,2:07:00 AM,127,0,0,3,3,3,4,4,4,9,10,10,0,0,0.3,0.3,0.3,0.4,0.4,0.4,Experimental
BR,M,MBR.5,D6,8:51:00 AM,11:10:00 AM,2:19:00 AM,139,0,3,5,5,6,9,9,9,10,9,10,0,0.3,0.5,0.5,0.6,0.9,0.9,0.9,Experimental
SH,F,FSH.5,A1,8:20:00 AM,10:12:00 AM,1:52:00 AM,112,0,2,2,2,5,6,6,6,9,9,10,0,0.2,0.2,0.2,0.5,0.6,0.6,0.6,Experimental
SH,F,FSH.6,A2,8:25:00 AM,10:11:00 AM,1:46:00 AM,106,0,2,2,2,2,2,7,7,10,10,10,0,0.2,0.2,0.2,0.2,0.2,0.7,0.7,Experimental
SH,M,MSH.6,A3,8:29:00 AM,10:01:00 AM,1:32:00 AM,92,0,6,9,9,10,10,10,10,10,10,10,0,0.6,0.9,0.9,1,1,1,1,Experimental
BR,F,FBR.5,A4,8:43:00 AM,10:39:00 AM,1:56:00 AM,116,0,0,1,1,2,2,2,0,10,10,10,0,0,0.1,0.1,0.2,0.2,0.2,0,Experimental
BR,F,FBR.6,A5,8:38:00 AM,11:27:00 AM,2:49:00 AM,169,0,0,0,0,0,1,2,2,10,10,10,0,0,0,0,0,0.1,0.2,0.2,Experimental
BR,M,MBR.6,A6,8:34:00 AM,9:47:00 AM,1:13:00 AM,73,0,3,4,4,5,5,7,7,10,10,10,0,0.3,0.4,0.4,0.5,0.5,0.7,0.7,Experimental
BOB,M,MBOB.5,D1,8:48:00 AM,11:23:00 AM,2:35:00 AM,155,0,7,10,10,10,10,10,10,4,3,10,0,0.7,1,1,1,1,1,1,Experimental
BOB,F,FBOB.6,D2,8:52:00 AM,12:29:00 PM,3:37:00 AM,217,0,3,3,3,6,6,7,7,8,8,10,0,0.3,0.3,0.3,0.6,0.6,0.7,0.7,Experimental
BOB,M,MBOB.6,D3,8:56:00 AM,11:49:00 AM,2:53:00 AM,173,0,8,9,10,10,10,10,10,4,4,10,0,0.8,0.9,1,1,1,1,1,Experimental
SD,F,FSD.5,D4,9:08:00 AM,11:25:00 AM,2:17:00 AM,137,0,3,3,3,5,5,8,8,10,10,10,0,0.3,0.3,0.3,0.5,0.5,0.8,0.8,Experimental
SD,F,FSD.6,D5,9:04:00 AM,11:25:00 AM,2:21:00 AM,141,0,1,1,2,5,5,5,6,10,10,10,0,0.1,0.1,0.2,0.5,0.5,0.5,0.6,Experimental
SD,M,MSD.6,D6,9:00:00 AM,12:29:00 PM,3:29:00 AM,209,0,6,8,9,10,10,10,10,10,10,10,0,0.6,0.8,0.9,1,1,1,1,Experimental
BOB,M,MBOB.control6,A1,7:53:00 AM,9:53:00 AM,3:53 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
BOB,F,FBOB.control6,A2,7:57:00 AM,9:57:00 AM,3:57 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
SH,F,FSH.control6,A3,8:00:00 AM,10:00:00 AM,4:00 PM,120,0,0,2,2,2,3,3,3,7,7,10,0,0,0.2,0.2,0.2,0.3,0.3,0.3,Control
SH,M,MSH.control6,A4,8:02:00 AM,10:02:00 AM,4:02 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
BR,F,FBR.control6,D1,8:06:00 AM,10:06:00 AM,4:06 PM,120,0,0,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,0,0,Control
BR,M,MBR.control6,D2,8:09:00 AM,10:09:00 AM,4:09 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
SD,F,FSD.control6,D3,8:12:00 AM,10:12:00 AM,4:12 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
SD,M,MSD.control6,D4,8:15:00 AM,10:15:00 AM,4:15 PM,120,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,Control
