ID,Totlen
MBOB.1,1.494
MBOB.3,1.548
FBOB.3,1.64
FSD.21,1.736
MSD.22,1.667
FSD.22,1.463
FSD.23,1.363
FSD.24,1.654
MSD.24,0.685
MSD.13,1.608
FSD.13,1.532
MSD.14,1.464
FSD.14,1.22
FSD.17,1.509
FSD.2,1.639
MSD.3,1.611
FSD.3,1.562
FSD.4,1.452
MSD.5,1.5
MSD.6,1.549
FSD.6,1.662
FBOB.6,1.524
FBOB.4,1.654
FBOB.5,1.531
MSD.7,1.599
FSD.7,1.584
MSD.8,1.352
FSD.8,1.546
MSD.9,1.445
FSD.9,1.532
MSD.10,1.555
MSD.11,1.628
FSD.11,1.361
MSD.12,1.524
FSD.12,1.534
FBOB.20,1.79
MBOB.20,1.645
FBOB.21,1.501
MBOB.21,1.687
FBOB.23,1.794
FBOB.24,1.75
FBOB.25,1.716
MBOB.8,1.628
FBOB.8,1.773
MBOB.10,1.579
FBOB.10,1.463
MBOB.11,1.72
FBOB.11,1.711
MBOB.12,1.57
FBOB.12,1.554
MSD.37,1.65
FSD.37,1.688
MSD.38,1.611
FSD.38,1.633
MSD.40,1.725
FSD.40,1.794
MBOB.13,1.458
FBOB.13,1.671
MBOB.16,1.72
,1
MBOB.17,1.78
FBOB.18,1.741
MBOB.18,1.544
MBOB.19,1.79
FBOB.19,1.737
FBOB.26,1.854
MBOB.26,1.707
FBOB.28,1.696
MBOB.28,1.777
FSD.25,1.767
FSD.26,1.632
MSD.29,1.593
MSD.31,1.58
FSD.31,1.639
FSD.35,1.799
MSD.36,1.505
FSD.36,1.629
FBOB.43,1.929
FBOB.44,1.855
FBOB.45,2.064
FBOB.47,1.866
FBOB.37,1.753
FBOB.38,1.922
FBOB.39,1.908
FBOB.40,1.912
MSD.61,1.627
MSD.62,1.545
FSD.62,1
MSD.63,1.598
FSD.64,1.607
MSD.64,1.692
MSD.65,1.695
MSD.49,1.514
FSD.49,1.598
MSD.50,1.626
FSD.50,1.677
MSD.51,1.619
MSD.52,1.684
FBOB.41,1.927
MSD.53,1.68
FSD.53,1.768
MSD.54,1.684
MSD.55,1.749
MSD.56,1.638
MSD.57,1.721
FSD.57,1.891
MSD.58,1.67
FSD.58,1.624
MSD.59,1.68
FSD.59,1.813
MSD.60,1.695
FSD.60,1.732
MBR.2,1.946
FBR.2,2.041
MBR.4,1.778
MBR.5,1.515
FBR.5,1.369
MBR.7,1.753
FBR.7,1.926
MBR.8,1.878
FBR.8,1.889
MBOB.55,1.798
FBOB.55,1.777
FBOB.56,1.829
MBOB.56,1.712
MBOB.57,1.858
FBOB.57,1.884
MBOB.58,1.797
FBOB.58,1.805
FBOB.59,1.839
MBOB.59,1.686
FBOB.60,1.682
FBOB.61,1.836
FBR.9,1.93
MBR.13,1.889
FBR.14,1.714
MBR.14,1.749
FBR.15,1.415
MBR.15,1.678
MBR.16,1.788
FBR.16,1.895
FBOB.49,1.863
MBOB.50,1.947
FBOB.50,1.657
FBOB.51,2.144
MBOB.51,2.204
FBOB.52,1.797
FBOB.54,1.896
FBOB.67,1.822
FBOB.70,1.721
FBOB.71,0.908
FBOB.72,1.821
FBOB.64,1.97
MSD.72,1.606
MSD.73,1.651
FSD.73,1.627
FSD.74,1.612
MSD.74,1.521
FSD.75,1.626
MSD.75,1.643
MSD.76,1.616
FSD.76,1.563
MSD.66,1.753
FSD.66,1.753
FSD.67,1.807
MBR.17,1.831
FBR.17,1.867
MBR.21,1.846
MBR.22,1.583
FBR.22,1.584
MBR.29,1.77
FBR.29,1.655
FBR.30,1.763
MBR.30,1.801
FBR.25,1.61
MBR.25,1.491
MBR.26,1.718
FBR.26,1.688
MBR.28,1.652
FBR.20,1.712
MBR.24,1.687
FBR.23,1.691
MBR.23,1.716
FSD.88,1.837
MSD.88,1.714
FSD.86,1.713
MSD.86,1.638
MSD.82,1.743
MSD.78,1.628
FSD.71,1.701
MSD.71,1.677
FSD.69,1.536
MSD.69,1.607
MSD.68,1.444
FSD.68,1.491
MSD.102,1.664
FSD.102,1.64
MSD.103,1.657
MSD.104,1.705
FSD.104,1.944
FSD.105,1.719
MSD.105,1.527
MSD.106,1.609
FSD.106,1.645
FSD.107,1.614
FBOB.85,1.53
MBOB.86,1.579
FBOB.86,1.612
MBOB.87,1.691
FBOB.87,1.668
MBOB.88,1.809
FBOB.89,1.659
MBOB.89,1.656
MBOB.90,1.709
FBOB.90,1.663
MBOB.84,1.811
MSD.96,1.592
MSD.97,1.649
FSD.98,1
MSD.99,1.548
FSD.99,1.649
MSD.90,1.599
FSD.90,1.699
MSD.91,1.567
FSD.91,1.65
FSD.92,1.685
FBOB.91,1.607
MBOB.91,1.683
MBOB.92,1.766
FBOB.92,1.676
MBOB.93,1.727
FBOB.93,1.466
MBOB.94,1.688
FBOB.94,1.845
MBOB.95,1.68
FBOB.95,1.659
MBOB.85,1.543
MSH.1,1.754
FSH.1,2.028
FSH.2,2.113
FSH.3,1.976
MSH.3,1.942
FSH.4,1.982
MSH.5,1.962
FSH.5,1.986
FSH.6,1.712
MBR.39,1.734
MBR.40,1.76
MBR.53,1.715
FBR.53,1.724
MBR.54,1.615
FBR.54,1.927
MBR.56,1.895
FBR.47,1.759
MBR.47,1.719
FBR.49,1.879
MBR.49,1.673
FBR.50,1.81
MBR.41,1.793
FBR.42,1.703
MBR.42,1.629
MBR.44,1.721
FBR.36,2.099
MBR.36,1.882
MBR.37,1.694
FBR.37,1.724
