Hours,Pop,Sex,Replicate,ID,Well,Load,Plat,End,Time_to_plat,Time_minutes,KO,KO.prop,Surv,Surv.prop,Total copepods,Group
24,BOB,F,1,FBOB.1,A1,0.433333333,0.553472222,0.553472222,0.120138889,173,10,1,0,0,10,Exp - 24 Hours
24,BOB,M,1,MBOB.1,A2,0.436805556,0.525694444,0.525694444,0.088888889,128,10,1,2,0.2,10,Exp - 24 Hours
24,BOB,F,2,FBOB.2,A3,0.440277778,0.538194444,0.538194444,0.097916667,141,8,1,2,0.25,8,Exp - 24 Hours
24,SH,M,1,MSH.1,A4,0.44375,0.604166667,0.604166667,0.160416667,231,10,1,0,0,10,Exp - 24 Hours
24,SH,F,1,FSH.1,A5,0.448611111,0.520833333,0.520833333,0.072222222,104,10,1,0,0,10,Exp - 24 Hours
24,SH,F,2,FSH.2,A6,0.452777778,0.541666667,0.541666667,0.088888889,128,10,1,1,0.1,10,Exp - 24 Hours
24,BR,M,1,MBR.1,D1,0.455555556,0.585416667,0.585416667,0.129861111,187,10,1,5,0.5,10,Exp - 24 Hours
24,BR,M,2,MBR.2,D2,0.458333333,0.557638889,0.557638889,0.099305556,143,10,1,2,0.2,10,Exp - 24 Hours
24,BR,F,1,FBR.1,D3,0.461805556,0.573611111,0.573611111,0.111805556,161,10,1,4,0.4,10,Exp - 24 Hours
24,SD,M,1,MSD.1,D4,0.465277778,0.563888889,0.563888889,0.098611111,142,10,1,0,0,10,Exp - 24 Hours
24,SD,M,2,MSD.2,D5,0.470833333,0.554861111,0.554861111,0.084027778,121,8,0.8,0,0,10,Exp - 24 Hours
24,SD,F,1,FSD.1,D6,0.474305556,0.527777778,0.527777778,0.053472222,77,10,1,1,0.1,10,Exp - 24 Hours
24,BOB,M,2,MBOB.2,A1,0.495138889,0.56875,0.56875,0.073611111,106,10,1,0,0,10,Exp - 24 Hours
24,BOB,M,3,MBOB.3,A2,0.498611111,0.574305556,0.574305556,0.075694444,109,10,1,0,0,10,Exp - 24 Hours
24,BOB,F,3,FBOB.3,A3,0.502083333,0.589583333,0.589583333,0.0875,126,10,1,0,0,10,Exp - 24 Hours
24,SH,M,2,MSH.2,A4,0.505555556,0.648611111,0.648611111,0.143055556,206,10,1,0,0,10,Exp - 24 Hours
24,SH,M,3,MSH.3,A5,0.508333333,0.655555556,0.655555556,0.147222222,212,10,1,0,0,10,Exp - 24 Hours
24,SH,F,3,FSH.3,A6,0.511805556,0.611805556,0.611805556,0.1,144,10,1,0,0,10,Exp - 24 Hours
24,BR,M,3,MBR.3,D1,0.514583333,0.584027778,0.584027778,0.069444444,100,10,1,0,0,10,Exp - 24 Hours
24,BR,F,2,FBR.2,D2,0.517361111,0.602777778,0.602777778,0.085416667,123,10,1,1,0.1,10,Exp - 24 Hours
24,BR,F,3,FBR.3,D3,0.519444444,0.591666667,0.591666667,0.072222222,104,10,1,4,0.4,10,Exp - 24 Hours
