MiniDOT Logger Concatenated Data File
Sensor:             7450-588969
Concatenation Date: 2023May23 22:39:59 PDT

DO concentration compensated for salinity: 35.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1656603540,           2022-06-30 15:39:00,           2022-06-30 08:39:00,      3.560000,     15.148000,          4.281573,                    52.787208,      1.010000
                1656604140,           2022-06-30 15:49:00,           2022-06-30 08:49:00,      3.560000,     15.019000,          4.025691,                    49.505601,      1.011000
                1656604740,           2022-06-30 15:59:00,           2022-06-30 08:59:00,      3.560000,     15.019000,          4.220118,                    51.896553,      1.010000
                1656605340,           2022-06-30 16:09:00,           2022-06-30 09:09:00,      3.560000,     15.122000,          4.383858,                    54.020421,      1.010000
                1656605940,           2022-06-30 16:19:00,           2022-06-30 09:19:00,      3.560000,     15.328000,          4.392670,                    54.350135,      1.010000
                1656606540,           2022-06-30 16:29:00,           2022-06-30 09:29:00,      3.550000,     15.551000,          4.592175,                    57.069004,      1.009000
                1656607140,           2022-06-30 16:39:00,           2022-06-30 09:39:00,      3.560000,     15.696000,          4.794421,                    59.752479,      1.009000
                1656607740,           2022-06-30 16:49:00,           2022-06-30 09:49:00,      3.560000,     15.902000,          4.915674,                    61.511503,      1.008000
                1656608340,           2022-06-30 16:59:00,           2022-06-30 09:59:00,      3.560000,     16.192000,          5.101575,                    64.200142,      1.008000
                1656608940,           2022-06-30 17:09:00,           2022-06-30 10:09:00,      3.550000,     16.464000,          5.311746,                    67.199184,      1.008000
                1656609540,           2022-06-30 17:19:00,           2022-06-30 10:19:00,      3.550000,     16.778000,          5.605822,                    71.351411,      1.007000
                1656610140,           2022-06-30 17:29:00,           2022-06-30 10:29:00,      3.560000,     17.041000,          5.779881,                    73.940095,      1.007000
                1656610740,           2022-06-30 17:39:00,           2022-06-30 10:39:00,      3.550000,     17.355000,          5.901932,                    75.956837,      1.006000
                1656611340,           2022-06-30 17:49:00,           2022-06-30 10:49:00,      3.550000,     17.693000,          6.051877,                    78.389699,      1.006000
                1656611940,           2022-06-30 17:59:00,           2022-06-30 10:59:00,      3.550000,     18.064000,          6.456095,                    84.215188,      1.005000
                1656612540,           2022-06-30 18:09:00,           2022-06-30 11:09:00,      3.550000,     18.434000,          6.679015,                    87.732025,      1.004000
                1656613140,           2022-06-30 18:19:00,           2022-06-30 11:19:00,      3.550000,     18.829000,          6.851297,                    90.662643,      1.004000
                1656613740,           2022-06-30 18:29:00,           2022-06-30 11:29:00,      3.550000,     19.224000,          6.905967,                    92.059729,      1.004000
                1656614340,           2022-06-30 18:39:00,           2022-06-30 11:39:00,      3.550000,     19.593000,          7.291211,                    97.860317,      1.004000
                1656614940,           2022-06-30 18:49:00,           2022-06-30 11:49:00,      3.550000,     19.986000,          7.501475,                   101.411940,      1.003000
                1656615540,           2022-06-30 18:59:00,           2022-06-30 11:59:00,      3.550000,     20.338000,          7.748902,                   105.432556,      1.004000
                1656616140,           2022-06-30 19:09:00,           2022-06-30 12:09:00,      3.550000,     20.697000,          7.636760,                   104.586512,      1.003000
                1656616740,           2022-06-30 19:19:00,           2022-06-30 12:19:00,      3.550000,     21.032000,          7.838644,                   108.003063,      1.002000
                1656617340,           2022-06-30 19:29:00,           2022-06-30 12:29:00,      3.550000,     21.458000,          8.717605,                   121.036293,      1.003000
                1656617940,           2022-06-30 19:39:00,           2022-06-30 12:39:00,      3.550000,     21.825000,          8.823574,                   123.313001,      1.003000
                1656618540,           2022-06-30 19:49:00,           2022-06-30 12:49:00,      3.550000,     22.160000,          8.642762,                   121.506929,      1.003000
                1656619140,           2022-06-30 19:59:00,           2022-06-30 12:59:00,      3.550000,     22.527000,          8.954486,                   126.708396,      1.003000
                1656619740,           2022-06-30 20:09:00,           2022-06-30 13:09:00,      3.540000,     22.887000,          8.910236,                   126.882486,      1.002000
                1656620340,           2022-06-30 20:19:00,           2022-06-30 13:19:00,      3.540000,     23.213000,          9.586337,                   137.290659,      1.002000
                1656620940,           2022-06-30 20:29:00,           2022-06-30 13:29:00,      3.540000,     23.573000,          9.212752,                   132.769463,      1.003000
                1656621540,           2022-06-30 20:39:00,           2022-06-30 13:39:00,      3.540000,     23.900000,          9.573823,                   138.756452,      1.002000
                1656622140,           2022-06-30 20:49:00,           2022-06-30 13:49:00,      3.540000,     24.193000,          9.585227,                   139.625215,      1.002000
                1656622740,           2022-06-30 20:59:00,           2022-06-30 13:59:00,      3.540000,     24.470000,         10.195763,                   149.226758,      1.003000
                1656623340,           2022-06-30 21:09:00,           2022-06-30 14:09:00,      3.540000,     24.747000,         10.446341,                   153.620354,      1.002000
                1656623940,           2022-06-30 21:19:00,           2022-06-30 14:19:00,      3.540000,     25.024000,         10.128395,                   149.649365,      1.003000
                1656624540,           2022-06-30 21:29:00,           2022-06-30 14:29:00,      3.540000,     25.285000,         10.123920,                   150.247473,      1.003000
                1656625140,           2022-06-30 21:39:00,           2022-06-30 14:39:00,      3.540000,     25.512000,         10.469086,                   155.967898,      1.003000
                1656625740,           2022-06-30 21:49:00,           2022-06-30 14:49:00,      3.540000,     25.739000,         10.085235,                   150.825689,      1.003000
                1656626340,           2022-06-30 21:59:00,           2022-06-30 14:59:00,      3.540000,     25.925000,         10.728639,                   160.950642,      1.004000
                1656626940,           2022-06-30 22:09:00,           2022-06-30 15:09:00,      3.540000,     26.094000,         11.016745,                   165.742178,      1.003000
                1656627540,           2022-06-30 22:19:00,           2022-06-30 15:19:00,      3.540000,     26.263000,         11.249158,                   169.718293,      1.003000
                1656628140,           2022-06-30 22:29:00,           2022-06-30 15:29:00,      3.540000,     26.432000,         11.052256,                   167.219059,      1.002000
                1656628740,           2022-06-30 22:39:00,           2022-06-30 15:39:00,      3.540000,     26.567000,         11.181590,                   169.557089,      1.003000
                1656629340,           2022-06-30 22:49:00,           2022-06-30 15:49:00,      3.540000,     26.702000,         11.295360,                   171.667587,      1.002000
                1656629940,           2022-06-30 22:59:00,           2022-06-30 15:59:00,      3.540000,     26.821000,         11.409739,                   173.749154,      1.004000
                1656630540,           2022-06-30 23:09:00,           2022-06-30 16:09:00,      3.540000,     26.948000,         11.213697,                   171.123975,      1.002000
                1656631140,           2022-06-30 23:19:00,           2022-06-30 16:19:00,      3.540000,     26.965000,         11.256682,                   171.828350,      1.002000
                1656631740,           2022-06-30 23:29:00,           2022-06-30 16:29:00,      3.540000,     27.024000,         11.191847,                   171.005731,      1.003000
                1656632340,           2022-06-30 23:39:00,           2022-06-30 16:39:00,      3.540000,     27.016000,         11.231168,                   171.583795,      1.004000
                1656632940,           2022-06-30 23:49:00,           2022-06-30 16:49:00,      3.540000,     27.050000,         11.350840,                   173.509740,      1.001000
                1656633540,           2022-06-30 23:59:00,           2022-06-30 16:59:00,      3.540000,     27.058000,         11.525998,                   176.210552,      1.003000
                1656634140,           2022-07-01 00:09:00,           2022-06-30 17:09:00,      3.540000,     27.067000,         11.082383,                   169.453769,      1.003000
                1656634740,           2022-07-01 00:19:00,           2022-06-30 17:19:00,      3.540000,     27.050000,         11.079662,                   169.364499,      1.002000
                1656635340,           2022-07-01 00:29:00,           2022-06-30 17:29:00,      3.540000,     27.024000,         10.993812,                   167.979858,      1.004000
                1656635940,           2022-07-01 00:39:00,           2022-06-30 17:39:00,      3.540000,     26.940000,         10.920254,                   166.623857,      1.002000
                1656636540,           2022-07-01 00:49:00,           2022-06-30 17:49:00,      3.540000,     26.829000,         11.049223,                   168.281520,      1.003000
                1656637140,           2022-07-01 00:59:00,           2022-06-30 17:59:00,      3.540000,     26.753000,         11.173755,                   169.963468,      1.002000
                1656637740,           2022-07-01 01:09:00,           2022-06-30 18:09:00,      3.540000,     26.601000,         11.393171,                   172.863356,      1.003000
                1656638340,           2022-07-01 01:19:00,           2022-06-30 18:19:00,      3.530000,     26.339000,         11.506472,                   173.821140,      1.002000
                1656638940,           2022-07-01 01:29:00,           2022-06-30 18:29:00,      3.540000,     26.026000,         11.071509,                   166.376249,      1.002000
                1656639540,           2022-07-01 01:39:00,           2022-06-30 18:39:00,      3.540000,     25.773000,         11.445786,                   171.270892,      1.001000
                1656640140,           2022-07-01 01:49:00,           2022-06-30 18:49:00,      3.540000,     25.461000,         11.097243,                   165.183722,      1.002000
                1656640740,           2022-07-01 01:59:00,           2022-06-30 18:59:00,      3.540000,     25.175000,         11.222290,                   166.237811,      1.003000
                1656641340,           2022-07-01 02:09:00,           2022-06-30 19:09:00,      3.540000,     24.839000,         10.937607,                   161.097388,      1.003000
                1656641940,           2022-07-01 02:19:00,           2022-06-30 19:19:00,      3.540000,     24.453000,         11.043777,                   161.591337,      1.002000
                1656642540,           2022-07-01 02:29:00,           2022-06-30 19:29:00,      3.540000,     24.151000,         11.239517,                   163.604489,      1.003000
                1656643140,           2022-07-01 02:39:00,           2022-06-30 19:39:00,      3.540000,     23.858000,         10.680931,                   154.689809,      1.002000
                1656643740,           2022-07-01 02:49:00,           2022-06-30 19:49:00,      3.540000,     23.548000,         10.648331,                   153.391713,      1.002000
