Line,Replicate,Males,Females,Total.copepods,KO24,Swim24,KO48,Swim48,KO72,Swim72,Survival,Death,Date Started,KO24.prop,KO48.prop,KO72.prop,Survival.prop
SD1001,1,6,6,12,10,2,12,0,12,0,0,12,3/14/2023,0.833333333,1,1,0
SD45,1,6,4,10,9,1,9,1,9,1,1,9,3/14/2023,0.9,0.9,0.9,0.1
SD1003,1,6,6,12,8,4,11,1,11,1,1,11,3/14/2023,0.666666667,0.916666667,0.916666667,0.083333333
SH23,1,6,6,12,2,10,7,5,7,5,4,8,3/14/2023,0.166666667,0.583333333,0.583333333,0.333333333
SH94,1,6,6,12,3,9,6,6,6,6,6,6,3/14/2023,0.25,0.5,0.5,0.5
SH28,1,6,6,12,4,8,11,1,11,1,1,11,3/14/2023,0.333333333,0.916666667,0.916666667,0.083333333
SH24B,1,6,6,12,6,6,12,0,12,0,2,10,3/14/2023,0.5,1,1,0.166666667
SH1004,1,5,5,10,3,7,8,2,8,2,2,8,3/14/2023,0.3,0.8,0.8,0.2
SH83,1,6,6,12,7,5,10,2,12,0,0,12,3/20/2023,0.583333333,0.833333333,1,0
SH118,1,8,1,9,2,7,4,5,8,1,2,7,3/20/2023,0.222222222,0.444444444,0.888888889,0.222222222
SH82,1,6,5,11,5,6,10,1,11,0,1,10,3/20/2023,0.454545455,0.909090909,1,0.090909091
SH67,1,5,6,11,2,9,5,6,10,1,4,7,3/20/2023,0.181818182,0.454545455,0.909090909,0.363636364
SH45,2,6,6,12,2,10,3,9,11,1,7,5,3/20/2023,0.166666667,0.25,0.916666667,0.583333333
SH70,1,6,5,11,2,9,6,5,11,0,3,8,3/20/2023,0.181818182,0.545454545,1,0.272727273
SD1002,1,5,6,11,7,4,8,3,10,1,4,7,3/20/2023,0.636363636,0.727272727,0.909090909,0.363636364
SD1001,2,5,5,10,3,7,8,2,10,0,2,8,3/20/2023,0.3,0.8,1,0.2
SH28,2,6,4,10,2,8,2,8,3,7,8,2,3/28/2023,0.2,0.2,0.3,0.8
SH1004,1,5,6,11,1,10,1,10,1,10,10,1,3/28/2023,0.090909091,0.090909091,0.090909091,0.909090909
SH233,1,6,6,12,3,9,4,8,4,8,8,4,3/28/2023,0.25,0.333333333,0.333333333,0.666666667
SH64,1,6,5,11,0,11,0,11,0,11,11,0,3/28/2023,0,0,0,1
SH440,1,5,6,11,2,9,3,8,3,8,7,4,3/28/2023,0.181818182,0.272727273,0.272727273,0.636363636
SH82B,1,6,6,12,1,11,2,10,2,10,10,2,3/28/2023,0.083333333,0.166666667,0.166666667,0.833333333
SH88,1,6,5,11,0,11,0,11,0,11,11,0,3/28/2023,0,0,0,1
SH23,2,7,5,12,1,11,1,11,1,11,10,2,3/28/2023,0.083333333,0.083333333,0.083333333,0.833333333
SH440,2,6,6,12,0,12,0,12,4,8,11,1,4/10/2023,0,0,0.333333333,0.916666667
SH82B,2,6,6,12,3,9,5,7,5,7,7,5,4/10/2023,0.25,0.416666667,0.416666667,0.583333333
SH45,2,8,4,12,1,11,1,11,11,1,8,4,4/10/2023,0.083333333,0.083333333,0.916666667,0.666666667
SH70,2,6,6,12,4,8,5,7,8,4,6,6,4/10/2023,0.333333333,0.416666667,0.666666667,0.5
SH82,2,6,6,12,7,5,7,5,10,2,4,8,4/10/2023,0.583333333,0.583333333,0.833333333,0.333333333
SH67,2,6,6,12,3,9,5,7,11,1,5,7,4/10/2023,0.25,0.416666667,0.916666667,0.416666667
SH88,2,6,5,11,2,9,5,6,11,0,6,5,4/17/2023,0.181818182,0.454545455,1,0.545454545
SH94,2,5,5,10,0,10,2,8,6,4,8,2,4/17/2023,0,0.2,0.6,0.8
SH64,2,6,6,12,1,11,3,9,7,5,8,4,4/17/2023,0.083333333,0.25,0.583333333,0.666666667
SD45,3,6,5,11,0,11,2,9,7,4,10,1,4/17/2023,0,0.181818182,0.636363636,0.909090909
SD1002,2,6,5,11,2,9,7,4,8,3,4,7,4/17/2023,0.181818182,0.636363636,0.727272727,0.363636364
SD1003,2,6,6,12,7,5,9,3,11,1,3,9,4/17/2023,0.583333333,0.75,0.916666667,0.25
BOB45,1,7,3,10,3,7,7,3,9,1,3,7,4/17/2023,0.3,0.7,0.9,0.3
BOB14,1,6,6,12,0,12,1,11,4,8,12,0,4/17/2023,0,0.083333333,0.333333333,1
SH118,2,4,6,10,0,10,2,8,8,2,7,3,4/24/2023,0,0.2,0.8,0.7
SH24B,2,6,6,12,9,3,9,3,10,2,3,9,4/24/2023,0.75,0.75,0.833333333,0.25
SH83,2,6,6,12,3,9,5,7,9,3,8,4,4/24/2023,0.25,0.416666667,0.75,0.666666667
SD45,3,6,6,12,2,10,4,8,9,3,7,5,4/24/2023,0.166666667,0.333333333,0.75,0.583333333
SD1001,3,6,6,12,2,10,8,4,11,1,3,9,4/24/2023,0.166666667,0.666666667,0.916666667,0.25
SD1002,3,6,6,12,5,7,6,6,8,4,5,7,4/24/2023,0.416666667,0.5,0.666666667,0.416666667
SH1004,2,6,6,12,2,10,4,8,8,4,7,5,5/1/2023,0.166666667,0.333333333,0.666666667,0.583333333
SH135,1,6,6,12,3,9,5,7,9,3,6,6,5/1/2023,0.25,0.416666667,0.75,0.5
SH312,1,8,3,11,4,7,4,7,10,1,6,5,5/1/2023,0.363636364,0.363636364,0.909090909,0.545454545
SH440,3,6,6,12,3,9,6,6,8,4,7,5,5/1/2023,0.25,0.5,0.666666667,0.583333333
SH23,3,6,6,12,2,10,4,8,9,3,7,5,5/1/2023,0.166666667,0.333333333,0.75,0.583333333
SH67,3,6,6,12,0,12,6,6,9,3,5,7,5/1/2023,0,0.5,0.75,0.416666667
BOB45,2,6,6,12,0,12,1,11,8,4,9,3,5/1/2023,0,0.083333333,0.666666667,0.75
BOB14,2,6,6,12,0,12,2,10,9,3,8,4,5/1/2023,0,0.166666667,0.75,0.666666667
SH82,3,6,6,12,6,6,6,6,9,3,6,6,5/8/2023,0.5,0.5,0.75,0.5
SH88,3,6,6,12,5,7,6,6,9,3,4,8,5/8/2023,0.416666667,0.5,0.75,0.333333333
SH63,1,6,6,12,0,12,3,9,8,4,8,4,5/8/2023,0,0.25,0.666666667,0.666666667
SD224,1,6,6,12,2,10,6,6,9,3,2,10,5/8/2023,0.166666667,0.5,0.75,0.166666667
SD163,1,6,6,12,5,7,6,6,7,5,6,6,5/8/2023,0.416666667,0.5,0.583333333,0.5
SD226,1,6,6,12,0,12,2,10,8,4,9,3,5/8/2023,0,0.166666667,0.666666667,0.75
SD215,1,6,6,12,2,10,4,8,9,3,6,6,5/8/2023,0.166666667,0.333333333,0.75,0.5
SD221,1,6,6,12,2,10,4,8,8,4,6,6,5/8/2023,0.166666667,0.333333333,0.666666667,0.5
SH215,1,6,5,11,2,9,5,6,7,4,5,6,5/15/2023,0.181818182,0.454545455,0.636363636,0.454545455
SH239,1,6,5,11,0,11,3,8,8,3,,11,5/15/2023,0,0.272727273,0.727272727,0
SH64,3,6,6,12,3,9,6,6,9,3,,12,5/15/2023,0.25,0.5,0.75,0
SH82B,3,6,4,10,3,7,3,7,8,2,5,5,5/15/2023,0.3,0.3,0.8,0.5
SH233,2,6,5,11,4,7,5,6,9,2,4,7,5/15/2023,0.363636364,0.454545455,0.818181818,0.363636364
SH94,3,6,6,12,3,9,6,6,10,2,6,6,5/15/2023,0.25,0.5,0.833333333,0.5
BOB43,1,6,6,12,2,10,4,8,8,4,8,4,5/15/2023,0.166666667,0.333333333,0.666666667,0.666666667
BOB76,1,5,5,10,1,9,3,7,9,1,6,4,5/15/2023,0.1,0.3,0.9,0.6
BOB45,3,5,6,11,0,11,0,11,7,4,11,0,5/15/2023,0,0,0.636363636,1
BOB14,3,5,6,11,1,10,2,9,9,2,7,4,5/15/2023,0.090909091,0.181818182,0.818181818,0.636363636
SH70,3,6,6,12,4,8,8,4,11,1,3,9,5/22/2023,0.333333333,0.666666667,0.916666667,0.25
SH312,2,6,6,12,2,10,3,9,10,2,7,5,5/22/2023,0.166666667,0.25,0.833333333,0.583333333
